condition,ratio,ideal_time_window,rank,composite_score,snr,correlation,cv,dynamic_range,smoothness
20MSynComm,20,32.95 to 33.05,1,0.8144998469415067,4.946228510331464,0.8333333333333335,0.21368352313333847,0.6313838000170368,0.9862347118267053
20MSynComm,20,33.95 to 34.05,2,0.8090996780801344,5.094236983793465,0.7857142857142858,0.20690495663102473,0.6205905580976441,0.9875635283830256
20MSynComm,20,29.95 to 30.05,3,0.7966642059958389,4.206544115606237,0.9285714285714287,0.2557750232143849,0.6495623255310494,0.9875799249566227
20MSynComm+ SF,10+10,30.95 to 31.05,1,0.9285116111004149,7.1719692705844675,0.8333333333333335,0.16149807283582562,0.6729710885745669,0.9695277547512829
20MSynComm+ SF,10+10,31.95 to 32.05,2,0.9204617754616355,6.820331084219376,0.8571428571428572,0.16158178901571307,0.6341606015499848,0.977149943536282
20MSynComm+ SF,10+10,29.95 to 30.05,3,0.9176143329751913,7.030610783907752,0.8333333333333335,0.17062360090263762,0.7071889387508703,0.9612738486191434
20MSynComm+ SF,2+18,35.95 to 36.05,1,0.8172723779284131,4.921943844128092,0.8571428571428572,0.2118425789663742,0.5739592516672021,0.9873518131605825
20MSynComm+ SF,2+18,34.95 to 35.05,2,0.7904316194067257,4.788110953629014,0.7857142857142858,0.21703326434995138,0.5869828209795367,0.9904225582089282
20MSynComm+ SF,2+18,33.95 to 34.05,3,0.7834569442883071,4.62673878175772,0.7857142857142858,0.2223101978906743,0.5978722386238422,0.9932163553956923
20MSynComm+ SFP,10+10,30.95 to 31.05,1,0.7587453181259125,3.663744056416067,0.9285714285714287,0.29525774015558826,0.6615738770832746,0.9872435426052495
20MSynComm+ SFP,10+10,34.95 to 35.05,2,0.7554418153464056,5.153356890048168,0.6666666666666669,0.22288061935482162,0.6268691206658845,0.9553787756709446
20MSynComm+ SFP,10+10,32.95 to 33.05,3,0.7541565003203664,4.386715955335263,0.7857142857142858,0.2518737679400767,0.6424397973033044,0.969472343749766
20MSynComm+ SFP,2+18,31.95 to 32.05,1,0.7707493598978036,3.7850532087261803,0.9285714285714287,0.28090138979893997,0.6469279327863854,0.9924802258093616
20MSynComm+ SFP,2+18,30.95 to 31.05,2,0.7670191745566327,3.5031881744368896,0.9761904761904763,0.30141812594340583,0.6523730401411159,0.9959793903192401
20MSynComm+ SFP,2+18,32.95 to 33.05,3,0.7640138950963482,4.1365671330911145,0.8333333333333335,0.25817468717081665,0.6381708749132349,0.9893067582859522
SF,20,4.95 to 5.05,1,0.8325411123135522,4.695947839170609,0.9523809523809524,0.25057510975733804,0.6381227517197414,0.9998518895928487
SF,20,5.95 to 6.05,2,0.8011485665154742,3.9384041688097655,0.9761904761904763,0.2440317564486176,0.5481937900584706,0.999897143223051
SF,20,3.95 to 4.05,3,0.7175201862661543,3.2396538331539104,0.9523809523809524,0.3029192943983242,0.4710810738727938,0.9625369187036288
SFP,20,4.95 to 5.05,1,0.7783609244937174,4.8515275007719945,0.8333333333333335,0.2986286352654942,0.5815549852955199,0.99247064108322
SFP,20,5.95 to 6.05,2,0.7770604498299263,4.473470908621705,0.8571428571428572,0.2998807736091216,0.6552581041848207,0.9991930163751439
SFP,20,6.95 to 7.05,3,0.7634211637949533,4.234225183804233,0.8333333333333335,0.2787082987077094,0.6108601871663408,0.9991191638121858
